id,name,abbrev,area,population,capital,statehood
2,Alaska,AK,1717.8,0.67,Juneau,"January 3, 1959"
1,Alabama,AL,131.4,4.599,Montgomery,"December 14, 1819"
4,Arkansas,AR,137.8,2.811,Little Rock,"June 15, 1836"
3,Arizona,AZ,295.3,6.166,Phoenix,"February 14, 1912"
16,California,CA,410,36.458,Sacramento,"September 9, 1850"
21,Colorado,CO,269.8,4.753,Denver,"August 1, 1876"
5,Connecticut,CT,14.4,3.505,Hartford,"January 9, 1788"
8,Delaware,DE,6.4,0.853,Dover,"December 7, 1787"
9,Florida,FL,170.3,18.09,Tallahassee,"March 3, 1845"
10,Georgia,GA,154,9.364,Atlanta,"January 2, 1788"
11,Hawaii,HI,29.3,1.285,Honolulu,"August 21, 1959"
15,Iowa,IA,145.7,2.982,Des Moines,"December 28, 1846"
12,Idaho,ID,216.6,1.466,Boise,"July 3, 1890"
13,Illinois,IL,149.9,12.832,Springfield,"December 3, 1818"
14,Indiana,IN,94.3,6.314,Indianapolis,"December 11, 1816"
17,Kansas,KS,213,2.764,Topeka,"January 29, 1861"
20,Kentucky,KY,104.7,4.206,Frankfort,"June 1, 1792"
22,Louisiana,LA,134.4,4.288,Baton Rouge,"April 30, 1812"
25,Massachusetts,MA,27.4,6.437,Boston,"February 6, 1788"
24,Maryland,MD,32.2,5.616,Annapolis,"April 28, 1788"
23,Maine,ME,86.5,1.322,Augusta,"March 15, 1820"
26,Michigan,MI,253.8,10.096,Lansing,"January 26, 1837"
27,Minnesota,MN,225.4,5.167,Saint Paul,"May 11, 1858"
29,Missouri,MO,180.7,5.843,Jefferson City,"August 10, 1821"
28,Mississippi,MS,125.4,2.911,Jackson,"December 10, 1817"
30,Montana,MT,381.1,0.945,Helena,"November 8, 1889"
19,North Carolina,NC,139.5,8.857,Raleigh,"November 21, 1789"
7,North Dakota,ND,183.3,0.636,Bismarck,"November 2, 1889"
31,Nebraska,NE,200.5,1.768,Lincoln,"March 1, 1867"
33,New Hampshire,NH,24.2,1.315,Concord,"June 21, 1788"
34,New Jersey,NJ,20.6,8.725,Trenton,"December 18, 1787"
36,New Mexico,NM,315.2,1.955,Santa Fe,"January 6, 1912"
32,Nevada,NV,286.4,2.496,Carson City,"October 31, 1864"
35,New York,NY,141.2,19.306,Albany,"July 26, 1788"
37,Ohio,OH,116.1,11.478,Columbus,"March 1, 1803"
38,Oklahoma,OK,181.2,3.579,Oklahoma City,"November 16, 1907"
39,Oregon,OR,255,3.701,Salem,"February 14, 1859"
40,Pennsylvania,PA,119.3,12.44,Harrisburg,"December 12, 1787"
41,Rhode Island,RI,3.1,1.068,Providence,"May 19, 1790"
18,South Carolina,SC,83,4.321,Columbia,"May 23, 1788"
6,South Dakota,SD,199.9,0.782,Pierre,"November 2, 1889"
43,Tennessee,TN,109.2,6.039,Nashville,"June 1, 1796"
42,Texas,TX,678,23.508,Austin,"December 29, 1845"
44,Utah,UT,219.9,2.55,Salt Lake City,"January 4, 1896"
47,Virginia,VA,110.9,7.643,Richmond,"June 25, 1788"
45,Vermont,VT,24.9,0.624,Montpelier,"March 4, 1791"
46,Washington,WA,184.8,6.396,Olympia,"November 11, 1889"
49,Wisconsin,WI,169.8,5.557,Madison,"May 29, 1848"
48,West Virginia,WV,62.8,1.818,Charleston,"June 20, 1863"
50,Wyoming,WY,253.3,0.515,Cheyenne,"July 10, 1890"
51,District of Columbia,DC,0.179,0.551,Washington,"July 16, 1790"
